                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7314,                 3.5454,                  1.767,                0.80842,                0.51667,                0.73764,                0.61403,                 1.3681,                 1.7746,                 1.1836,                    0.1,                      0,                      0
                      2,                  1.811,                 4.4328,                 1.9048,                0.64089,                    0.7,                0.73827,                0.61412,                 1.3506,                 1.7376,                 1.1816,                0.09901,              9.901e-06,              9.901e-06
                      3,                 1.2104,                 2.3248,                 1.3521,                 0.6497,                    0.7,                0.73882,                0.61433,                 1.3612,                 1.7499,                 1.1882,                0.09802,             1.9604e-05,             1.9604e-05
                      4,                 1.8886,                 4.0198,                 2.2072,                0.65367,                0.70757,                0.73649,                0.61398,                 1.3837,                 1.7729,                  1.199,               0.097029,             2.9109e-05,             2.9109e-05
                      5,                 1.4446,                  3.801,                 1.6281,                0.63041,                0.56667,                 0.7448,                0.53694,                 1.3095,                   1.75,                 1.1504,               0.096038,             3.8416e-05,             3.8416e-05
                      6,                 1.3802,                 2.6976,                 1.6072,                0.69083,                0.36087,                0.32742,                0.26286,                 1.6967,                 3.0715,                 1.3711,               0.095048,             4.7525e-05,             4.7525e-05
                      7,                 1.4615,                 2.0793,                 1.7288,                0.82581,                0.16667,                 0.2574,                0.19245,                 2.1664,                 4.2415,                  1.688,               0.094056,             5.6436e-05,             5.6436e-05
                      8,                 1.5866,                 1.9995,                 1.6696,                0.16791,                   0.25,                0.13685,                0.03053,                 2.3057,                 6.1376,                 1.8638,               0.093065,             6.5149e-05,             6.5149e-05
                      9,                 1.4812,                 1.8822,                 1.6296,                0.00206,                0.16667,                0.01276,                 0.0051,                 2.5875,                 7.7511,                 2.2089,               0.092074,             7.3664e-05,             7.3664e-05
                     10,                 1.2873,                 1.1697,                 1.4132,                0.00303,                0.16667,                0.00313,                0.00125,                 2.6717,                 8.6524,                 2.4495,               0.091082,             8.1981e-05,             8.1981e-05
                     11,                 1.4888,                 1.6461,                 1.4873,                0.00303,                0.16667,                0.00313,                0.00125,                 2.8503,                  8.927,                 2.5078,                0.09009,               9.01e-05,               9.01e-05
                     12,                 1.4494,                 1.5904,                 1.5468,                0.00303,                0.16667,                0.00313,                0.00125,                 2.7557,                 8.2823,                 2.4253,               0.089098,             9.8021e-05,             9.8021e-05
                     13,                 1.5556,                 1.7512,                 1.9049,                0.00303,                0.16667,                0.00313,                0.00125,                 2.8132,                 7.8482,                 2.3969,               0.088106,             0.00010574,             0.00010574
                     14,                 1.2366,                 1.2087,                 1.3265,                0.00303,                0.16667,                0.00313,                0.00125,                 2.8315,                 7.6712,                 2.3698,               0.087113,             0.00011327,             0.00011327
                     15,                 1.5561,                 1.3515,                 1.4573,                0.01667,                0.01667,                0.02342,                0.00234,                 2.7715,                 6.8928,                 2.2214,               0.086121,              0.0001206,              0.0001206
                     16,                 1.5165,                 1.2884,                 1.4759,                0.00694,                0.01667,                0.01899,                 0.0019,                 2.7074,                 6.7323,                 2.2569,               0.085128,             0.00012773,             0.00012773
                     17,                 1.4471,                 1.1928,                 1.3869,                0.00694,                0.01667,                0.01899,                 0.0019,                 2.8329,                 6.6786,                 2.3102,               0.084135,             0.00013466,             0.00013466
                     18,                 1.5132,                 1.6912,                 1.5807,                0.00694,                0.01667,                0.01899,                 0.0019,                 2.8329,                 6.6786,                 2.3102,               0.083141,             0.00014139,             0.00014139
                     19,                 1.6163,                 1.4969,                 1.6267,                0.00595,                0.01667,                0.01854,                0.00222,                 2.8822,                 6.5005,                 2.3442,               0.082148,             0.00014792,             0.00014792
                     20,                 1.8363,                 2.9308,                 1.9589,                0.00595,                0.01667,                0.01854,                0.00222,                 2.8822,                 6.5005,                 2.3442,               0.081154,             0.00015426,             0.00015426
                     21,                 1.3202,                0.95354,                 1.3796,                0.00556,                0.01667,                0.00781,                0.00156,                 2.8568,                 6.6222,                 2.3051,                0.08016,              0.0001604,              0.0001604
                     22,                 1.5655,                 1.1385,                 1.6189,                0.00556,                0.01667,                0.00781,                0.00156,                 2.8568,                 6.6222,                 2.3051,               0.079166,             0.00016634,             0.00016634
                     23,                 1.3099,                 1.0871,                 1.3756,                0.00641,                0.01667,                0.00688,                0.00114,                  2.944,                 6.7775,                 2.3867,               0.078172,             0.00017208,             0.00017208
                     24,                  1.452,                 1.4922,                 1.6967,                0.00641,                0.01667,                0.00688,                0.00114,                  2.944,                 6.7775,                 2.3867,               0.077178,             0.00017763,             0.00017763
                     25,                 1.2762,                 1.3831,                 1.3439,                0.01389,                0.01667,                0.01424,                0.00285,                 2.9774,                 7.0663,                 2.3707,               0.076183,             0.00018298,             0.00018298
                     26,                 1.3528,                 1.4505,                 1.4055,                0.01389,                0.01667,                0.01424,                0.00285,                 2.9774,                 7.0663,                 2.3707,               0.075188,             0.00018812,             0.00018812
                     27,                 1.2682,                 1.3446,                 1.4938,                0.02778,                0.01667,                0.01792,                0.00538,                 2.9485,                 7.6505,                  2.397,               0.074193,             0.00019308,             0.00019308
                     28,                 1.4535,                 1.3036,                 1.5909,                0.02778,                0.01667,                0.01792,                0.00538,                 2.9485,                 7.6505,                  2.397,               0.073198,             0.00019783,             0.00019783
                     29,                 1.3276,                   1.07,                 1.4944,                0.02778,                0.01667,                0.01792,                0.00538,                 2.9754,                 8.2025,                 2.3862,               0.072202,             0.00020238,             0.00020238
                     30,                 1.1862,                 1.1032,                 1.3426,                0.02778,                0.01667,                0.01792,                0.00538,                 2.9754,                 8.2025,                 2.3862,               0.071207,             0.00020674,             0.00020674
                     31,                 1.3502,                0.96964,                 1.3427,                0.02778,                0.01667,                0.01792,                0.00538,                 2.9341,                 8.9436,                  2.416,               0.070211,              0.0002109,              0.0002109
                     32,                   1.36,                 1.2836,                 1.4862,                0.02778,                0.01667,                0.01792,                0.00538,                 2.9341,                 8.9436,                  2.416,               0.069215,             0.00021486,             0.00021486
                     33,                 1.2462,                0.97452,                 1.3332,                0.02778,                0.01667,                0.01792,                0.00538,                 3.0311,                 9.6811,                 2.4867,               0.068219,             0.00021862,             0.00021862
                     34,                   1.63,                  1.678,                  1.561,                0.02778,                0.01667,                0.01792,                0.00538,                 3.0311,                 9.6811,                 2.4867,               0.067222,             0.00022219,             0.00022219
                     35,                 1.3687,                 1.1624,                 1.4816,                0.02778,                0.01667,                0.01792,                0.00538,                 3.0006,                 10.301,                 2.4657,               0.066226,             0.00022556,             0.00022556
                     36,                 1.7201,                 2.4875,                 1.6433,                0.02778,                0.01667,                0.01792,                0.00538,                 3.0006,                 10.301,                 2.4657,               0.065229,             0.00022873,             0.00022873
                     37,                  1.323,                0.97506,                 1.5752,                0.02778,                0.01667,                0.01792,                0.00538,                 3.1441,                 11.679,                 2.6753,               0.064232,              0.0002317,              0.0002317
                     38,                 1.3268,                 1.1487,                 1.4189,                0.02778,                0.01667,                0.01792,                0.00538,                 3.1441,                 11.679,                 2.6753,               0.063234,             0.00023447,             0.00023447
